City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
219,Biltine,TD,81.93,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
220,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
221,Orange Cove,US,71.11,overcast clouds,36.6244,-119.3137,
223,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
228,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
229,Iztapa,GT,82.45,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
230,Victoria,HK,71.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
240,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
242,Beruwala,LK,78.58,overcast clouds,6.4788,79.9828,The Palms Hotel
243,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
244,Tevaitoa,PF,76.01,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
247,Buala,SB,85.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
248,New Iberia,US,75.96,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
250,Salinopolis,BR,80.92,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
258,San-Pedro,CI,76.28,overcast clouds,4.7485,-6.6363,Hotel Maria
259,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
263,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
265,Kenner,US,79.0,overcast clouds,29.9941,-90.2417,La Quinta Inn & Suites by Wyndham New Orleans Airport
266,Shagamu,NG,78.58,scattered clouds,6.8432,3.6478,Remo Majestic Hotel
267,Ballina,AU,75.16,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
268,Port Macquarie,AU,74.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
272,Arraial Do Cabo,BR,71.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
273,Itaituba,BR,78.67,light rain,-4.2761,-55.9836,Hotel Campos
277,Dingle,PH,82.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
281,General Roca,AR,70.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
282,Merauke,ID,85.71,overcast clouds,-8.4667,140.3333,
284,Progreso,MX,80.96,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
288,Bilma,NE,81.88,clear sky,18.6853,12.9164,Expeditions Ténére voyages
289,San Patricio,US,83.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
292,Surt,LY,75.83,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
293,Saint-Pierre,RE,71.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
296,Mafinga,TZ,73.17,broken clouds,-7.25,35.0667,
297,Umm Lajj,SA,76.5,clear sky,25.0213,37.2685,Moon light Furnished Units
300,Ariquemes,BR,73.76,heavy intensity rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
302,Kroya,ID,80.13,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
