City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
59,Coos Bay,US,2021-10-25 00:50:04,43.3665,-124.2179,broken clouds,57.92,79,75,29.93
60,Flinders,AU,2021-10-25 00:46:13,-34.5833,150.8552,clear sky,70.18,48,2,1.99
61,Dotnuva,LT,2021-10-25 00:50:04,55.35,23.9,few clouds,41.88,92,15,7.49
62,Hovd,MN,2021-10-25 00:50:05,48.0056,91.6419,clear sky,32.99,38,2,1.79
63,Vakhrushev,RU,2021-10-25 00:50:06,48.9833,142.9667,clear sky,48.87,66,0,9.86
64,Bredasdorp,ZA,2021-10-25 00:50:06,-34.5322,20.0403,clear sky,50.29,87,0,4.61
65,Port Alfred,ZA,2021-10-25 00:50:07,-33.5906,26.891,clear sky,57.34,81,0,11.56
66,San Cristobal,VE,2021-10-25 00:50:08,7.7669,-72.225,broken clouds,73.58,95,79,2.13
67,Bexhill,AU,2021-10-25 00:50:08,-28.7667,153.35,light rain,74.84,76,90,3.0
68,Cape Town,ZA,2021-10-25 00:47:11,-33.9258,18.4232,clear sky,58.26,69,0,1.99
69,Victoria Point,AU,2021-10-25 00:50:08,-27.5833,153.3,overcast clouds,83.44,70,95,1.99
70,Davila,PH,2021-10-25 00:50:09,18.4726,120.5763,few clouds,82.38,71,13,9.84
71,Tuktoyaktuk,CA,2021-10-25 00:50:09,69.4541,-133.0374,scattered clouds,26.6,100,40,5.75
72,Shache,CN,2021-10-25 00:50:09,38.4167,77.2406,overcast clouds,45.27,38,100,2.33
73,Sao Joao Da Barra,BR,2021-10-25 00:49:16,-21.6403,-41.0511,light rain,72.57,94,100,17.22
74,Meulaboh,ID,2021-10-25 00:49:45,4.1363,96.1285,overcast clouds,76.6,86,100,3.36
75,Kaitangata,NZ,2021-10-25 00:50:10,-46.2817,169.8464,overcast clouds,60.4,71,100,7.87
76,La Ronge,CA,2021-10-25 00:50:10,55.1001,-105.2842,scattered clouds,41.25,70,40,12.66
77,Hambantota,LK,2021-10-25 00:50:10,6.1241,81.1185,few clouds,77.34,100,20,4.61
78,Saint George,US,2021-10-25 00:45:53,37.1041,-113.5841,clear sky,72.19,34,1,1.01
79,Walvis Bay,NA,2021-10-25 00:50:11,-22.9575,14.5053,clear sky,59.09,88,0,6.91
80,Champerico,GT,2021-10-25 00:50:11,14.3,-91.9167,overcast clouds,84.74,82,100,7.74
81,Kisaran,ID,2021-10-25 00:50:12,2.9845,99.6158,heavy intensity rain,78.69,83,100,3.09
82,Yellowknife,CA,2021-10-25 00:47:15,62.456,-114.3525,broken clouds,42.42,85,75,21.85
83,Fairbanks,US,2021-10-25 00:45:32,64.8378,-147.7164,light snow,27.23,92,90,0.0
84,Hamilton,US,2021-10-25 00:50:12,39.1834,-84.5333,clear sky,70.99,84,1,1.01
85,Tortoli,IT,2021-10-25 00:50:12,39.9256,9.6572,overcast clouds,65.98,82,90,26.46
86,Tokur,RU,2021-10-25 00:50:13,53.1333,132.9,few clouds,32.63,82,15,4.36
87,Sao Filipe,CV,2021-10-25 00:48:37,14.8961,-24.4956,scattered clouds,78.12,70,32,10.58
88,Grants,US,2021-10-25 00:50:13,35.1473,-107.8514,clear sky,50.23,37,1,4.61
89,Fare,PF,2021-10-25 00:48:11,-16.7,-151.0167,light rain,76.73,86,100,14.23
90,Tombouctou,ML,2021-10-25 00:50:14,20.0,-3.0,scattered clouds,84.87,24,34,10.31
91,Mandurah,AU,2021-10-25 00:47:02,-32.55,115.7,overcast clouds,61.92,74,100,17.49
92,Castro,BR,2021-10-25 00:50:14,-24.7911,-50.0119,overcast clouds,54.43,98,100,4.36
93,Providencia,MX,2021-10-25 00:50:14,28.7167,-111.5833,few clouds,85.48,70,21,8.01
94,Brae,GB,2021-10-25 00:50:15,60.3964,-1.353,overcast clouds,51.71,82,98,16.22
95,Loandjili,CG,2021-10-25 00:50:15,-4.7561,11.8578,light rain,78.91,89,40,10.36
96,Kulhudhuffushi,MV,2021-10-25 00:50:16,6.6221,73.07,overcast clouds,81.93,77,93,8.01
97,Togur,RU,2021-10-25 00:50:16,58.3631,82.8265,light rain,41.04,94,100,8.61
98,Nikolskoye,RU,2021-10-25 00:46:35,59.7035,30.7861,light snow,34.88,80,100,9.33
99,Bethel,US,2021-10-25 00:47:29,41.3712,-73.414,overcast clouds,54.91,80,90,0.0
100,New Norfolk,AU,2021-10-25 00:50:16,-42.7826,147.0587,broken clouds,55.71,57,79,5.01
101,Busselton,AU,2021-10-25 00:46:59,-33.65,115.3333,overcast clouds,61.05,65,100,10.42
102,Petropavlovsk-Kamchatskiy,RU,2021-10-25 00:50:17,53.0452,158.6483,few clouds,41.59,39,20,13.42
103,Puerto Ayora,EC,2021-10-25 00:46:50,-0.7393,-90.3518,overcast clouds,68.56,94,100,3.0
104,Port Keats,AU,2021-10-25 00:50:17,-14.25,129.55,broken clouds,90.79,54,56,6.4
105,Solnechnyy,RU,2021-10-25 00:50:18,50.7214,136.6319,clear sky,44.46,65,0,2.55
106,Korla,CN,2021-10-25 00:50:18,41.7597,86.1469,clear sky,45.03,41,0,3.74
107,Tabou,CI,2021-10-25 00:50:18,4.423,-7.3528,overcast clouds,77.16,84,100,7.02
108,Hinton,CA,2021-10-25 00:50:19,53.4001,-117.5857,overcast clouds,46.44,75,100,8.14
109,Gat,IL,2021-10-25 00:50:19,31.61,34.7642,clear sky,68.68,100,4,3.31
110,San Quintin,MX,2021-10-25 00:50:19,30.4833,-115.95,few clouds,64.6,77,12,13.29
111,Zhigansk,RU,2021-10-25 00:50:20,66.7697,123.3711,overcast clouds,16.9,96,96,5.3
112,Balsas,BR,2021-10-25 00:47:47,-7.5325,-46.0356,few clouds,79.18,73,13,1.61
113,Norman Wells,CA,2021-10-25 00:50:20,65.282,-126.8329,overcast clouds,23.04,93,90,5.75
114,Roald,NO,2021-10-25 00:48:58,62.5833,6.1333,overcast clouds,51.94,82,90,5.75
115,Kaeo,NZ,2021-10-25 00:50:20,-35.1,173.7833,scattered clouds,72.32,77,26,4.76
116,Sooke,CA,2021-10-25 00:49:24,48.3746,-123.7276,scattered clouds,54.09,90,37,20.71
117,Richards Bay,ZA,2021-10-25 00:48:38,-28.783,32.0377,broken clouds,63.23,69,84,3.36
118,Caborca,MX,2021-10-25 00:50:21,30.5838,-111.101,clear sky,77.49,36,0,8.41
119,Nome,US,2021-10-25 00:50:21,64.5011,-165.4064,overcast clouds,32.16,86,90,17.27
120,Cayenne,GF,2021-10-25 00:49:03,4.9333,-52.3333,overcast clouds,77.04,91,90,4.0
121,Cherskiy,RU,2021-10-25 00:50:22,68.75,161.3,scattered clouds,-8.61,95,38,3.91
122,Svetlyy,RU,2021-10-25 00:50:22,54.675,20.1347,broken clouds,37.45,82,51,12.62
123,Kirakira,SB,2021-10-25 00:50:22,-10.4544,161.9205,few clouds,85.33,70,22,10.36
124,Kodiak,US,2021-10-25 00:45:32,57.79,-152.4072,scattered clouds,47.71,71,40,11.5
125,Bairiki,KI,2021-10-25 00:50:23,1.3292,172.9752,few clouds,86.0,66,20,4.61
126,Todos Santos,MX,2021-10-25 00:46:08,23.45,-110.2167,clear sky,84.79,74,2,6.82
127,Yatou,CN,2021-10-25 00:50:23,37.15,122.3833,clear sky,59.36,56,0,3.4
128,Cidreira,BR,2021-10-25 00:47:50,-30.1811,-50.2056,clear sky,60.73,66,0,1.7
129,Molochnoye,RU,2021-10-25 00:50:24,59.2917,39.6787,scattered clouds,26.87,94,27,6.2
130,Luderitz,NA,2021-10-25 00:50:24,-26.6481,15.1594,clear sky,59.5,70,0,11.03
131,Kars,TR,2021-10-25 00:50:24,40.602,43.095,broken clouds,25.65,45,77,4.0
132,Georgetown,MY,2021-10-25 00:50:25,5.4112,100.3354,mist,78.73,93,20,5.01
133,Cocobeach,GA,2021-10-25 00:50:25,1.0002,9.5823,light rain,80.53,87,21,4.21
134,Elmira,US,2021-10-25 00:50:25,42.0898,-76.8077,mist,51.33,94,90,3.44
135,Novopokrovka,UA,2021-10-25 00:50:26,49.8425,36.5477,clear sky,39.58,68,6,9.13
136,Carnarvon,AU,2021-10-25 00:50:26,-24.8667,113.6333,overcast clouds,71.67,60,88,12.66
137,East London,ZA,2021-10-25 00:50:27,-33.0153,27.9116,clear sky,58.44,74,1,9.8
138,Bardsir,IR,2021-10-25 00:50:27,29.9227,56.5743,clear sky,44.65,36,0,5.06
139,Saint-Louis,SN,2021-10-25 00:50:27,16.3333,-15.0,broken clouds,85.64,35,77,6.44
140,Zhaotong,CN,2021-10-25 00:50:28,27.3167,103.7167,overcast clouds,46.63,94,100,2.59
141,Eenhana,NA,2021-10-25 00:50:28,-17.4667,16.3333,clear sky,68.09,15,0,5.84
142,Coquimbo,CL,2021-10-25 00:50:28,-29.9533,-71.3436,clear sky,56.93,88,0,4.61
143,Koumac,NC,2021-10-25 00:50:29,-20.5667,164.2833,few clouds,78.64,65,12,7.0
144,Southbridge,US,2021-10-25 00:50:29,42.0751,-72.0334,overcast clouds,51.01,85,99,1.34
145,Rawson,AR,2021-10-25 00:48:51,-43.3002,-65.1023,overcast clouds,63.45,34,100,38.9
146,Guerrero Negro,MX,2021-10-25 00:46:17,27.9769,-114.0611,clear sky,66.49,72,0,14.9
147,Egvekinot,RU,2021-10-25 00:50:30,66.3167,-179.1667,few clouds,6.01,85,21,5.68
148,Otradnoye,RU,2021-10-25 00:50:30,59.7775,30.8181,light snow,36.03,82,100,9.57
149,Chernyshkovskiy,RU,2021-10-25 00:50:30,48.4219,42.2308,clear sky,41.83,82,7,7.94
150,Highland Springs,US,2021-10-25 00:50:31,37.546,-77.3278,clear sky,65.7,83,1,4.61
151,Avarua,CK,2021-10-25 00:50:10,-21.2078,-159.775,few clouds,77.05,53,20,12.66
152,Matara,LK,2021-10-25 00:50:31,5.9485,80.5353,overcast clouds,77.05,88,94,5.32
153,Hami,CN,2021-10-25 00:50:10,42.8,93.45,clear sky,42.46,36,0,6.44
154,Altay,CN,2021-10-25 00:50:31,47.8667,88.1167,clear sky,31.01,58,0,4.23
155,Nantucket,US,2021-10-25 00:45:41,41.2835,-70.0995,clear sky,56.97,66,1,5.75
156,Carutapera,BR,2021-10-25 00:50:32,-1.195,-46.02,scattered clouds,79.95,81,50,8.28
157,Novomykolayivka,UA,2021-10-25 00:50:32,47.9781,35.9102,overcast clouds,43.05,63,100,11.32
158,Hit,IQ,2021-10-25 00:50:33,33.6416,42.8251,clear sky,67.8,29,0,7.0
159,Leningradskiy,RU,2021-10-25 00:50:33,69.3833,178.4167,overcast clouds,3.83,92,87,7.2
160,Saskylakh,RU,2021-10-25 00:50:33,71.9167,114.0833,broken clouds,-17.21,100,57,2.95
161,Yekaterinogradskaya,RU,2021-10-25 00:50:33,43.7635,44.2317,moderate rain,52.03,86,100,16.22
162,Skjervoy,NO,2021-10-25 00:50:34,70.0311,20.9714,overcast clouds,33.82,69,100,22.84
163,Port Moresby,PG,2021-10-25 00:50:34,-9.4431,147.1797,haze,87.22,70,40,11.5
164,Litovko,RU,2021-10-25 00:50:34,49.2361,135.1742,clear sky,47.46,53,0,10.8
165,Isangel,VU,2021-10-25 00:48:50,-19.55,169.2667,broken clouds,82.51,69,75,5.75
166,Fortuna,US,2021-10-25 00:50:35,40.5982,-124.1573,scattered clouds,59.34,78,40,4.0
167,Warrnambool,AU,2021-10-25 00:50:35,-38.3833,142.4833,broken clouds,55.81,61,74,13.02
168,Clyde River,CA,2021-10-25 00:50:35,70.4692,-68.5914,overcast clouds,12.87,77,97,4.65
169,Bengkulu,ID,2021-10-25 00:49:18,-3.8004,102.2655,overcast clouds,74.52,94,100,2.73
170,Airai,TL,2021-10-25 00:50:36,-8.9266,125.4092,overcast clouds,76.06,44,98,1.66
171,Darnah,LY,2021-10-25 00:50:36,32.767,22.6367,overcast clouds,71.82,64,100,11.3
172,Mae Chan,TH,2021-10-25 00:50:36,20.1467,99.8526,overcast clouds,73.78,98,95,0.78
173,Muborak,UZ,2021-10-25 00:50:37,39.2553,65.1528,clear sky,48.99,32,0,2.57
174,Severo-Kurilsk,RU,2021-10-25 00:50:37,50.6789,156.125,overcast clouds,39.33,69,96,17.34
175,Manokwari,ID,2021-10-25 00:48:53,-0.8667,134.0833,overcast clouds,82.65,68,100,3.36
